Item Name,Category,Available Timing,Location
Zesty Crunch 1908,Snacks,3:00 PM - 6:00 PM,India
Tandoori Snack 8006,Breakfast,6:00 AM - 10:00 AM,Canada
Crispy Delight 7282,Lunch,11:00 AM - 3:00 PM,China
Spicy Brew 9154,Dinner,6:00 PM - 10:00 PM,China
Crispy Snack 7807,Snacks,3:00 PM - 6:00 PM,Germany
Choco Burst 1400,Desserts,11:00 AM - 11:00 PM,South Africa
Grilled Twist 1934,Desserts,11:00 AM - 11:00 PM,Australia
Choco Burst 740,Lunch,11:00 AM - 3:00 PM,India
Herbal Twist 8780,Desserts,11:00 AM - 11:00 PM,Canada
Choco Thunder 2948,Dinner,6:00 PM - 10:00 PM,USA
Veg Brew 3952,Desserts,11:00 AM - 11:00 PM,Germany
Sizzling Treat 5929,Lunch,11:00 AM - 3:00 PM,India
Grilled Fusion 3388,Dinner,6:00 PM - 10:00 PM,UK
Grilled Treat 4760,Desserts,11:00 AM - 11:00 PM,Germany
Tandoori Snack 6101,Beverages,8:00 AM - 10:00 PM,Brazil
Choco Snack 7855,Lunch,11:00 AM - 3:00 PM,USA
Choco Thunder 254,Desserts,11:00 AM - 11:00 PM,Brazil
Sizzling Thunder 7387,Beverages,8:00 AM - 10:00 PM,India
Grilled Snack 4697,Dinner,6:00 PM - 10:00 PM,Australia
Choco Treat 2554,Beverages,8:00 AM - 10:00 PM,South Africa
Sizzling Fusion 5079,Dinner,6:00 PM - 10:00 PM,Australia
Tandoori Brew 7061,Desserts,11:00 AM - 11:00 PM,Canada
Grilled Crunch 1438,Desserts,11:00 AM - 11:00 PM,India
Grilled Burst 2018,Beverages,8:00 AM - 10:00 PM,Germany
Choco Burst 4668,Beverages,8:00 AM - 10:00 PM,China
Veg Thunder 4408,Beverages,8:00 AM - 10:00 PM,USA
Veg Brew 7098,Breakfast,6:00 AM - 10:00 AM,Japan
Grilled Treat 8505,Beverages,8:00 AM - 10:00 PM,Australia
Tandoori Thunder 3478,Desserts,11:00 AM - 11:00 PM,South Africa
Zesty Thunder 4481,Beverages,8:00 AM - 10:00 PM,Japan
Crispy Thunder 3613,Breakfast,6:00 AM - 10:00 AM,Australia
Grilled Treat 2132,Lunch,11:00 AM - 3:00 PM,Australia
Tandoori Fusion 3286,Desserts,11:00 AM - 11:00 PM,USA
Spicy Blaze 9239,Beverages,8:00 AM - 10:00 PM,South Africa
Crispy Delight 9060,Breakfast,6:00 AM - 10:00 AM,India
Tandoori Blaze 861,Dinner,6:00 PM - 10:00 PM,Canada
Choco Blaze 2318,Dinner,6:00 PM - 10:00 PM,Canada
Tandoori Thunder 2824,Beverages,8:00 AM - 10:00 PM,UK
Grilled Twist 5500,Lunch,11:00 AM - 3:00 PM,China
Zesty Snack 7952,Snacks,3:00 PM - 6:00 PM,South Africa
Golden Twist 4860,Snacks,3:00 PM - 6:00 PM,India
Golden Treat 957,Dinner,6:00 PM - 10:00 PM,UK
Herbal Delight 7344,Desserts,11:00 AM - 11:00 PM,China
Tandoori Blaze 4534,Beverages,8:00 AM - 10:00 PM,Japan
Choco Snack 2538,Beverages,8:00 AM - 10:00 PM,UK
Choco Snack 7152,Breakfast,6:00 AM - 10:00 AM,USA
Spicy Brew 9200,Breakfast,6:00 AM - 10:00 AM,Germany
Grilled Treat 346,Desserts,11:00 AM - 11:00 PM,China
Spicy Delight 5372,Lunch,11:00 AM - 3:00 PM,Canada
Choco Blaze 574,Breakfast,6:00 AM - 10:00 AM,Japan
Zesty Burst 5399,Lunch,11:00 AM - 3:00 PM,India
Herbal Treat 7010,Desserts,11:00 AM - 11:00 PM,Canada
Golden Blaze 7920,Snacks,3:00 PM - 6:00 PM,India
Herbal Twist 940,Dinner,6:00 PM - 10:00 PM,Japan
Zesty Treat 4772,Breakfast,6:00 AM - 10:00 AM,South Africa
Herbal Burst 3290,Lunch,11:00 AM - 3:00 PM,UK
Tandoori Brew 2532,Snacks,3:00 PM - 6:00 PM,USA
Zesty Twist 6479,Dinner,6:00 PM - 10:00 PM,UK
Choco Snack 9991,Desserts,11:00 AM - 11:00 PM,Germany
Grilled Thunder 216,Beverages,8:00 AM - 10:00 PM,Germany
Choco Snack 8013,Beverages,8:00 AM - 10:00 PM,Australia
Herbal Burst 8218,Snacks,3:00 PM - 6:00 PM,India
Herbal Blaze 5806,Beverages,8:00 AM - 10:00 PM,India
Zesty Blaze 399,Desserts,11:00 AM - 11:00 PM,Germany
Spicy Brew 9765,Breakfast,6:00 AM - 10:00 AM,Australia
Grilled Brew 457,Lunch,11:00 AM - 3:00 PM,Canada
Grilled Thunder 6756,Dinner,6:00 PM - 10:00 PM,Canada
Choco Twist 3922,Beverages,8:00 AM - 10:00 PM,Canada
Grilled Thunder 2099,Snacks,3:00 PM - 6:00 PM,China
Zesty Burst 152,Lunch,11:00 AM - 3:00 PM,UK
Zesty Blaze 7056,Breakfast,6:00 AM - 10:00 AM,Japan
Herbal Burst 8017,Dinner,6:00 PM - 10:00 PM,USA
Zesty Thunder 3280,Breakfast,6:00 AM - 10:00 AM,USA
Golden Crunch 6878,Dinner,6:00 PM - 10:00 PM,Germany
Grilled Burst 5273,Lunch,11:00 AM - 3:00 PM,Canada
Grilled Crunch 1980,Desserts,11:00 AM - 11:00 PM,Japan
Herbal Snack 3151,Breakfast,6:00 AM - 10:00 AM,India
Golden Crunch 6852,Lunch,11:00 AM - 3:00 PM,USA
Golden Twist 3769,Beverages,8:00 AM - 10:00 PM,Germany
Grilled Fusion 8467,Lunch,11:00 AM - 3:00 PM,Germany
Tandoori Thunder 1436,Beverages,8:00 AM - 10:00 PM,South Africa
Choco Snack 6900,Desserts,11:00 AM - 11:00 PM,South Africa
Choco Thunder 4484,Desserts,11:00 AM - 11:00 PM,India
Tandoori Fusion 7119,Snacks,3:00 PM - 6:00 PM,Japan
Grilled Treat 2990,Desserts,11:00 AM - 11:00 PM,South Africa
Spicy Thunder 690,Beverages,8:00 AM - 10:00 PM,Australia
Tandoori Burst 2218,Beverages,8:00 AM - 10:00 PM,Australia
Veg Fusion 4656,Lunch,11:00 AM - 3:00 PM,USA
Grilled Treat 7857,Breakfast,6:00 AM - 10:00 AM,Japan
Tandoori Fusion 3766,Breakfast,6:00 AM - 10:00 AM,Brazil
Herbal Fusion 4803,Beverages,8:00 AM - 10:00 PM,South Africa
Veg Twist 6521,Snacks,3:00 PM - 6:00 PM,Japan
Crispy Thunder 7889,Snacks,3:00 PM - 6:00 PM,India
Crispy Treat 5733,Breakfast,6:00 AM - 10:00 AM,Japan
Zesty Treat 423,Beverages,8:00 AM - 10:00 PM,Brazil
Crispy Fusion 4365,Desserts,11:00 AM - 11:00 PM,India
Spicy Fusion 547,Desserts,11:00 AM - 11:00 PM,Brazil
Tandoori Treat 2875,Beverages,8:00 AM - 10:00 PM,Canada
Sizzling Snack 7473,Beverages,8:00 AM - 10:00 PM,USA
Zesty Crunch 5620,Beverages,8:00 AM - 10:00 PM,USA
Tandoori Burst 5469,Snacks,3:00 PM - 6:00 PM,South Africa
Veg Fusion 7908,Dinner,6:00 PM - 10:00 PM,UK
Spicy Twist 4702,Beverages,8:00 AM - 10:00 PM,UK
Choco Snack 162,Desserts,11:00 AM - 11:00 PM,India
Sizzling Delight 2787,Dinner,6:00 PM - 10:00 PM,USA
Veg Thunder 6586,Desserts,11:00 AM - 11:00 PM,Japan
Spicy Crunch 5167,Dinner,6:00 PM - 10:00 PM,Japan
Golden Twist 4141,Desserts,11:00 AM - 11:00 PM,USA
Tandoori Treat 5447,Dinner,6:00 PM - 10:00 PM,Australia
Crispy Blaze 8472,Dinner,6:00 PM - 10:00 PM,Japan
Crispy Thunder 8350,Lunch,11:00 AM - 3:00 PM,Germany
Tandoori Fusion 3450,Breakfast,6:00 AM - 10:00 AM,Canada
Zesty Treat 585,Desserts,11:00 AM - 11:00 PM,China
Golden Crunch 7786,Dinner,6:00 PM - 10:00 PM,Japan
Crispy Treat 7679,Snacks,3:00 PM - 6:00 PM,China
Golden Treat 1997,Breakfast,6:00 AM - 10:00 AM,Japan
Sizzling Delight 7011,Dinner,6:00 PM - 10:00 PM,Canada
Golden Thunder 5150,Lunch,11:00 AM - 3:00 PM,India
Choco Thunder 1870,Dinner,6:00 PM - 10:00 PM,USA
Choco Fusion 3159,Desserts,11:00 AM - 11:00 PM,Brazil
Choco Crunch 7025,Lunch,11:00 AM - 3:00 PM,South Africa
Crispy Blaze 2805,Beverages,8:00 AM - 10:00 PM,India
Veg Delight 6854,Desserts,11:00 AM - 11:00 PM,South Africa
Crispy Fusion 8675,Lunch,11:00 AM - 3:00 PM,India
Zesty Twist 559,Lunch,11:00 AM - 3:00 PM,Australia
Zesty Thunder 8329,Lunch,11:00 AM - 3:00 PM,India
Zesty Delight 9464,Beverages,8:00 AM - 10:00 PM,China
Veg Burst 6099,Beverages,8:00 AM - 10:00 PM,Canada
Grilled Brew 9055,Desserts,11:00 AM - 11:00 PM,USA
Zesty Fusion 5184,Breakfast,6:00 AM - 10:00 AM,Germany
Tandoori Thunder 9273,Beverages,8:00 AM - 10:00 PM,India
Golden Brew 2039,Lunch,11:00 AM - 3:00 PM,Germany
Veg Treat 2262,Snacks,3:00 PM - 6:00 PM,China
Golden Treat 7090,Desserts,11:00 AM - 11:00 PM,USA
Veg Crunch 291,Dinner,6:00 PM - 10:00 PM,Brazil
Herbal Snack 1652,Dinner,6:00 PM - 10:00 PM,China
Crispy Snack 1508,Breakfast,6:00 AM - 10:00 AM,China
Grilled Treat 7376,Dinner,6:00 PM - 10:00 PM,Brazil
Sizzling Blaze 1085,Snacks,3:00 PM - 6:00 PM,China
Zesty Brew 6070,Desserts,11:00 AM - 11:00 PM,Canada
Crispy Brew 3432,Lunch,11:00 AM - 3:00 PM,Brazil
Golden Delight 430,Lunch,11:00 AM - 3:00 PM,UK
Herbal Fusion 9812,Breakfast,6:00 AM - 10:00 AM,USA
Golden Burst 3420,Lunch,11:00 AM - 3:00 PM,India
Grilled Burst 1673,Breakfast,6:00 AM - 10:00 AM,Brazil
Sizzling Fusion 9983,Desserts,11:00 AM - 11:00 PM,South Africa
Zesty Burst 5143,Desserts,11:00 AM - 11:00 PM,India
Crispy Brew 2083,Beverages,8:00 AM - 10:00 PM,Australia
Tandoori Blaze 4456,Snacks,3:00 PM - 6:00 PM,India
Sizzling Crunch 1753,Desserts,11:00 AM - 11:00 PM,Brazil
Crispy Treat 6851,Breakfast,6:00 AM - 10:00 AM,Germany
Choco Burst 5891,Beverages,8:00 AM - 10:00 PM,Japan
Tandoori Brew 5065,Dinner,6:00 PM - 10:00 PM,Japan
Zesty Delight 7329,Dinner,6:00 PM - 10:00 PM,China
Golden Crunch 674,Desserts,11:00 AM - 11:00 PM,Brazil
Sizzling Burst 7349,Dinner,6:00 PM - 10:00 PM,Brazil
Tandoori Thunder 9021,Breakfast,6:00 AM - 10:00 AM,Brazil
Herbal Crunch 5310,Breakfast,6:00 AM - 10:00 AM,Japan
Spicy Treat 6656,Beverages,8:00 AM - 10:00 PM,Australia
Crispy Snack 3473,Snacks,3:00 PM - 6:00 PM,India
Tandoori Burst 1220,Lunch,11:00 AM - 3:00 PM,South Africa
Choco Snack 3898,Breakfast,6:00 AM - 10:00 AM,China
Herbal Fusion 3947,Dinner,6:00 PM - 10:00 PM,China
Golden Burst 1102,Breakfast,6:00 AM - 10:00 AM,China
Choco Twist 5308,Lunch,11:00 AM - 3:00 PM,South Africa
Tandoori Blaze 3628,Breakfast,6:00 AM - 10:00 AM,India
Sizzling Thunder 9385,Desserts,11:00 AM - 11:00 PM,Germany
Zesty Thunder 6761,Dinner,6:00 PM - 10:00 PM,Japan
Choco Brew 6492,Beverages,8:00 AM - 10:00 PM,India
Choco Brew 3102,Breakfast,6:00 AM - 10:00 AM,UK
Spicy Brew 8418,Snacks,3:00 PM - 6:00 PM,Australia
Spicy Twist 5407,Snacks,3:00 PM - 6:00 PM,South Africa
Herbal Burst 8290,Breakfast,6:00 AM - 10:00 AM,Japan
Crispy Treat 2117,Beverages,8:00 AM - 10:00 PM,Canada
Veg Brew 7873,Lunch,11:00 AM - 3:00 PM,USA
Golden Treat 6903,Desserts,11:00 AM - 11:00 PM,India
Choco Delight 469,Desserts,11:00 AM - 11:00 PM,UK
Tandoori Thunder 5786,Beverages,8:00 AM - 10:00 PM,Australia
Choco Burst 3199,Beverages,8:00 AM - 10:00 PM,Japan
Veg Blaze 9815,Lunch,11:00 AM - 3:00 PM,Japan
Tandoori Burst 8438,Breakfast,6:00 AM - 10:00 AM,UK
Sizzling Fusion 6895,Snacks,3:00 PM - 6:00 PM,India
Spicy Crunch 3555,Lunch,11:00 AM - 3:00 PM,Australia
Golden Treat 2129,Dinner,6:00 PM - 10:00 PM,Japan
Zesty Blaze 5121,Lunch,11:00 AM - 3:00 PM,China
Sizzling Burst 6295,Snacks,3:00 PM - 6:00 PM,UK
Choco Thunder 181,Desserts,11:00 AM - 11:00 PM,South Africa
Choco Treat 9292,Snacks,3:00 PM - 6:00 PM,Germany
Veg Treat 4169,Beverages,8:00 AM - 10:00 PM,South Africa
Crispy Treat 2855,Desserts,11:00 AM - 11:00 PM,South Africa
Choco Delight 1648,Desserts,11:00 AM - 11:00 PM,Australia
Herbal Treat 9954,Desserts,11:00 AM - 11:00 PM,USA
Herbal Snack 6498,Beverages,8:00 AM - 10:00 PM,South Africa
Sizzling Thunder 3388,Lunch,11:00 AM - 3:00 PM,Canada
Choco Crunch 8911,Lunch,11:00 AM - 3:00 PM,UK
Spicy Fusion 8891,Dinner,6:00 PM - 10:00 PM,China
Tandoori Twist 7835,Desserts,11:00 AM - 11:00 PM,Brazil
